"","effect","cause","menas"
"285","A_dewindti","N_fasciatus","3rd Qu.:0.220157437036852"
"286","A_dewindti","N_fasciatus","Max.   :0.350943747231042"
"287","A_dewindti","N_fasciatus","NA's  :1"
"288","A_dewindti","N_sexfasciatus","Min.   :-0.150746794123591"
"289","A_dewindti","N_sexfasciatus","1st Qu.:-0.112765899582784"
"290","A_dewindti","N_sexfasciatus","Median :-0.0616690613424836"
"291","A_dewindti","N_sexfasciatus","Mean   :-0.0289476769418272"
"292","A_dewindti","N_sexfasciatus","3rd Qu.:0.0179584268175321"
"293","A_dewindti","N_sexfasciatus","Max.   :0.298276073242462"
"294","A_dewindti","N_sexfasciatus","NA's  :1"
"295","A_dewindti","O_ventralis","Min.   :-0.574497464933945"
"296","A_dewindti","O_ventralis","1st Qu.:-0.395652798819177"
"297","A_dewindti","O_ventralis","Median :-0.327220116309438"
"298","A_dewindti","O_ventralis","Mean   :-0.332707080625393"
"299","A_dewindti","O_ventralis","3rd Qu.:-0.276701001453152"
"300","A_dewindti","O_ventralis","Max.   :-0.129337235154854"
"301","A_dewindti","O_ventralis","NA's  :1"
"302","A_dewindti","P_microlepis","Min.   :-0.63966966680757"
"303","A_dewindti","P_microlepis","1st Qu.:-0.405875829525023"
"304","A_dewindti","P_microlepis","Median :-0.303994428333107"
"305","A_dewindti","P_microlepis","Mean   :-0.313793630836357"
"306","A_dewindti","P_microlepis","3rd Qu.:-0.215290352868757"
"307","A_dewindti","P_microlepis","Max.   :-0.0537154130323025"
"308","A_dewindti","P_microlepis","NA's  :1"
"309","A_dewindti","P_trewavasae","Min.   :-0.0831610475979176"
"310","A_dewindti","P_trewavasae","1st Qu.:0.14056109150726"
"311","A_dewindti","P_trewavasae","Median :0.178668278410881"
"312","A_dewindti","P_trewavasae","Mean   :0.203329759400196"
"313","A_dewindti","P_trewavasae","3rd Qu.:0.262523018299882"
"314","A_dewindti","P_trewavasae","Max.   :0.479198019513449"
"315","A_dewindti","P_trewavasae","NA's  :1"
"316","A_dewindti","T_moorii","Min.   :-0.545179976644438"
"317","A_dewindti","T_moorii","1st Qu.:-0.447901844555113"
"318","A_dewindti","T_moorii","Median :-0.376314846451635"
"319","A_dewindti","T_moorii","Mean   :-0.371608518217264"
"320","A_dewindti","T_moorii","3rd Qu.:-0.311083619489964"
"321","A_dewindti","T_moorii","Max.   :0.0250547968220453"
"322","A_dewindti","T_moorii","NA's  :1"
"323","A_dewindti","V_moorii","Min.   :0.210930586465841"
"324","A_dewindti","V_moorii","1st Qu.:0.40307933477066"
"325","A_dewindti","V_moorii","Median :0.473154378654713"
"326","A_dewindti","V_moorii","Mean   :0.50993985814446"
"327","A_dewindti","V_moorii","3rd Qu.:0.629920885845539"
"328","A_dewindti","V_moorii","Max.   :0.902802372278108"
"329","A_dewindti","V_moorii","NA's  :1"
"330","A_dewindti","X_papilio","Min.   :-0.0138248868016832"
"331","A_dewindti","X_papilio","1st Qu.:0.150612392422275"
"332","A_dewindti","X_papilio","Median :0.208541083020765"
"333","A_dewindti","X_papilio","Mean   :0.21917818397224"
"334","A_dewindti","X_papilio","3rd Qu.:0.280529120155104"
"335","A_dewindti","X_papilio","Max.   :0.430894358387697"
"336","A_dewindti","X_papilio","NA's  :1"
"337","I_loocki","I_loocki","Min.   :0.234686133630383"
"338","I_loocki","I_loocki","1st Qu.:0.335427115564052"
"339","I_loocki","I_loocki","Median :0.50021789813214"
"340","I_loocki","I_loocki","Mean   :0.53256972391845"
"341","I_loocki","I_loocki","3rd Qu.:0.728936964770118"
"342","I_loocki","I_loocki","Max.   :0.90163993954531"
"343","I_loocki","I_loocki","NA's  :1"
"344","I_loocki","A_dewindti","Min.   :-0.603405600685737"
"345","I_loocki","A_dewindti","1st Qu.:-0.316463037879908"
"346","I_loocki","A_dewindti","Median :-0.22262422900058"
"347","I_loocki","A_dewindti","Mean   :-0.231685976100237"
"348","I_loocki","A_dewindti","3rd Qu.:-0.143044515612535"
"349","I_loocki","A_dewindti","Max.   :0.0914477260150243"
"350","I_loocki","A_dewindti","NA's  :1"
"351","I_loocki","L_callipterus","Min.   :-0.762854345612183"
"352","I_loocki","L_callipterus","1st Qu.:-0.498227323299461"
"353","I_loocki","L_callipterus","Median :-0.342408500333923"
"354","I_loocki","L_callipterus","Mean   :-0.35542700635265"
"355","I_loocki","L_callipterus","3rd Qu.:-0.210032317681959"
"356","I_loocki","L_callipterus","Max.   :0.00966819572961961"
"357","I_loocki","L_callipterus","NA's  :1"
"358","I_loocki","L_tanganicanus","Min.   :-0.287578680697578"
"359","I_loocki","L_tanganicanus","1st Qu.:0.161706991114981"
"360","I_loocki","L_tanganicanus","Median :0.261678836166705"
"361","I_loocki","L_tanganicanus","Mean   :0.256030728722033"
"362","I_loocki","L_tanganicanus","3rd Qu.:0.402210516059225"
"363","I_loocki","L_tanganicanus","Max.   :0.751916223659232"
"364","I_loocki","L_tanganicanus","NA's  :1"
"365","I_loocki","N_fasciatus","Min.   :-0.515437691723039"
"366","I_loocki","N_fasciatus","1st Qu.:-0.310793776968112"
"367","I_loocki","N_fasciatus","Median :-0.227728151430803"
"368","I_loocki","N_fasciatus","Mean   :-0.21794213997549"
"369","I_loocki","N_fasciatus","3rd Qu.:-0.167860567518316"
"370","I_loocki","N_fasciatus","Max.   :0.132302986450378"
"371","I_loocki","N_fasciatus","NA's  :1"
"372","I_loocki","O_ventralis","Min.   :-0.535303640059245"
"373","I_loocki","O_ventralis","1st Qu.:-0.346677332644029"
"374","I_loocki","O_ventralis","Median :-0.280069429022392"
"375","I_loocki","O_ventralis","Mean   :-0.223421446037922"
"376","I_loocki","O_ventralis","3rd Qu.:-0.0506860457421842"
"377","I_loocki","O_ventralis","Max.   :0.132872173583297"
"378","I_loocki","O_ventralis","NA's  :1"
"379","I_loocki","P_polyodon","Min.   :-0.515654644742331"
"380","I_loocki","P_polyodon","1st Qu.:-0.277634257785406"
"381","I_loocki","P_polyodon","Median :-0.151784101345098"
"382","I_loocki","P_polyodon","Mean   :-0.134052188548006"
"383","I_loocki","P_polyodon","3rd Qu.:-0.0262845472449748"
"384","I_loocki","P_polyodon","Max.   :0.305038742947454"
"385","I_loocki","P_polyodon","NA's  :1"
"386","I_loocki","T_moorii","Min.   :-0.410499859005916"
"387","I_loocki","T_moorii","1st Qu.:-0.203834941157506"
"388","I_loocki","T_moorii","Median :-0.107888151466177"
"389","I_loocki","T_moorii","Mean   :-0.0709460567751808"
"390","I_loocki","T_moorii","3rd Qu.:0.070310687594079"
"391","I_loocki","T_moorii","Max.   :0.302950540830759"
"392","I_loocki","T_moorii","NA's  :1"
"393","I_loocki","T_vittatus","Min.   :-0.754665518534473"
"394","I_loocki","T_vittatus","1st Qu.:-0.169401816487613"
"395","I_loocki","T_vittatus","Median :0.00453435059707746"
"396","I_loocki","T_vittatus","Mean   :-0.00796765757191204"
"397","I_loocki","T_vittatus","3rd Qu.:0.247956327604545"
"398","I_loocki","T_vittatus","Max.   :0.442648604222568"
"399","I_loocki","T_vittatus","NA's  :1"
"400","L_callipterus","L_callipterus","Min.   :-0.865467164413407"
"401","L_callipterus","L_callipterus","1st Qu.:0.0852072912827513"
"402","L_callipterus","L_callipterus","Median :0.438825044337513"
"403","L_callipterus","L_callipterus","Mean   :0.475113317654814"
"404","L_callipterus","L_callipterus","3rd Qu.:0.808887437806342"
"405","L_callipterus","L_callipterus","Max.   :2.06127352512279"
"406","L_callipterus","L_callipterus","NA's  :1"
"407","L_callipterus","A_dewindti","Min.   :-0.723548400719315"
"408","L_callipterus","A_dewindti","1st Qu.:-0.141271400784844"
"409","L_callipterus","A_dewindti","Median :0.0897223139502968"
"410","L_callipterus","A_dewindti","Mean   :0.235296771684571"
"411","L_callipterus","A_dewindti","3rd Qu.:0.461317939585444"
"412","L_callipterus","A_dewindti","Max.   :2.31509632627562"
"413","L_callipterus","A_dewindti","NA's  :1"
"414","L_callipterus","J_ornatus","Min.   :-1.14185434674291"
"415","L_callipterus","J_ornatus","1st Qu.:-0.154103562130027"
"416","L_callipterus","J_ornatus","Median :0.246515667189164"
"417","L_callipterus","J_ornatus","Mean   :0.240757808991223"
"418","L_callipterus","J_ornatus","3rd Qu.:0.461455476918743"
"419","L_callipterus","J_ornatus","Max.   :1.60855503651613"
"420","L_callipterus","J_ornatus","NA's  :1"
"421","L_callipterus","L_attenuatus","Min.   :-1.29328213216419"
"422","L_callipterus","L_attenuatus","1st Qu.:0.0609296867927924"
"423","L_callipterus","L_attenuatus","Median :0.621308703080359"
"424","L_callipterus","L_attenuatus","Mean   :0.583600187319336"
"425","L_callipterus","L_attenuatus","3rd Qu.:0.945948837153284"
"426","L_callipterus","L_attenuatus","Max.   :2.40288217673534"
"427","L_callipterus","L_attenuatus","NA's  :1"
"428","L_callipterus","T_temporalis","Min.   :-2.11548678153379"
"429","L_callipterus","T_temporalis","1st Qu.:-0.387428777847302"
"430","L_callipterus","T_temporalis","Median :0.173886730252032"
"431","L_callipterus","T_temporalis","Mean   :-0.0111982512516259"
"432","L_callipterus","T_temporalis","3rd Qu.:0.359968057235922"
"433","L_callipterus","T_temporalis","Max.   :0.969458344895531"
"434","L_callipterus","T_temporalis","NA's  :1"
"435","L_lemairii","L_lemairii","Min.   :-2.88505752226476"
"436","L_lemairii","L_lemairii","1st Qu.:-0.0611094835458673"
"437","L_lemairii","L_lemairii","Median :0.47775032576299"
"438","L_lemairii","L_lemairii","Mean   :0.676792235142158"
"439","L_lemairii","L_lemairii","3rd Qu.:1.8865676342555"
"440","L_lemairii","L_lemairii","Max.   :2.98057846871902"
"441","L_lemairii","L_lemairii","NA's  :1"
