"","Strength","ratio","effect_cause","effect.x","cause.x","Smap_cum_sum","Smap_abs_mean","Neg","Pos"
"111","Positive",0.657894736842105,"L_labiatus_L_attenuatus","L_labiatus","L_attenuatus",5.51092670646351,2.49741799348052,0,1
"112","Positive",0.763157894736842,"X_papilio_L_attenuatus","X_papilio","L_attenuatus",36.2640029209667,1.47349878551918,0,1
"113","Negative",0.526315789473684,"X_papilio_L_callipterus","X_papilio","L_callipterus",5.65418213194837,0.917895522042661,1,0
"114","Positive",0.552631578947368,"X_papilio_P_trewavasae","X_papilio","P_trewavasae",0.43540687786876,0.630782000532239,0,1
"115","Positive",0.526315789473684,"X_papilio_T_vittatus","X_papilio","T_vittatus",4.51970991409567,0.792446140792045,0,1
"116","Positive",0.552631578947368,"X_papilio_V_moorii","X_papilio","V_moorii",2.22215245763163,0.354398263508333,0,1
"117","Negative",0.736842105263158,"V_moorii_L_dardennii","V_moorii","L_dardennii",11.3821696143708,0.395985497138848,1,0
"118","Negative",0.789473684210526,"V_moorii_L_elongatus","V_moorii","L_elongatus",12.3530641311634,0.370977765002088,1,0
"119","Negative",0.605263157894737,"V_moorii_O_ventralis","V_moorii","O_ventralis",4.42627202909129,0.332830656105826,1,0
"120","Positive",0.684210526315789,"V_moorii_T_moorii","V_moorii","T_moorii",8.59923002526736,0.349452556075857,0,1
"121","Positive",0.921052631578947,"P_polyodon_L_lemairii","P_polyodon","L_lemairii",15.9277940181582,0.430772756354845,0,1
"122","Negative",0.815789473684211,"P_polyodon_L_tanganicanus","P_polyodon","L_tanganicanus",9.04782027227284,0.313896918848507,1,0
"123","Positive",0.605263157894737,"P_polyodon_T_vittatus","P_polyodon","T_vittatus",3.22213205181416,0.336114119319473,0,1
"124","Negative",0.973684210526316,"P_polyodon_V_moorii","P_polyodon","V_moorii",8.73131170766771,0.230765603083977,1,0
"125","Negative",0.578947368421053,"S_multipunctatus_N_fasciatus","S_multipunctatus","N_fasciatus",14.8098326347998,0.741494477751844,1,0
"126","Positive",0.815789473684211,"S_multipunctatus_N_sexfasciatus","S_multipunctatus","N_sexfasciatus",22.230257420025,0.721779387925322,0,1
"127","Negative",0.605263157894737,"S_multipunctatus_T_vittatus","S_multipunctatus","T_vittatus",12.5365291717248,0.711040182475358,1,0
"128","Positive",0.684210526315789,"S_multipunctatus_X_papilio","S_multipunctatus","X_papilio",8.34690038168184,0.37956113853882,0,1
